id,peak_data_id,timestamp,port1,port2,port3,port4,port5,port6,port7,port8
1,1,1593548033.220246,6,2,0,0,0,0,0,0
2,2,1593548034.222645,6,2,0,0,0,0,0,0
3,3,1593548035.2166715,6,2,0,0,0,0,0,0
4,4,1593548036.2219398,6,2,0,0,0,0,0,0
5,5,1593626225.749217,6,2,0,0,0,0,0,0
6,6,1593626226.77727,6,2,0,0,0,0,0,0
7,7,1593626227.8171113,6,2,0,0,0,0,0,0
8,8,1593626228.841115,6,2,0,0,0,0,0,0
9,9,1593626412.5243025,6,2,0,0,0,0,0,0
10,10,1593626412.634047,6,2,0,0,0,0,0,0
11,11,1593626412.744737,6,2,0,0,0,0,0,0
12,12,1593626412.8634553,6,2,0,0,0,0,0,0
13,13,1593626412.9815083,6,2,0,0,0,0,0,0
14,14,1593626413.0918834,6,2,0,0,0,0,0,0
15,15,1593626413.2014184,6,2,0,0,0,0,0,0
16,16,1593626413.3251536,6,2,0,0,0,0,0,0
17,17,1593626413.4514308,6,2,0,0,0,0,0,0
18,18,1593626413.5663688,6,2,0,0,0,0,0,0
19,19,1593626413.677115,6,2,0,0,0,0,0,0
20,20,1593626413.791108,6,2,0,0,0,0,0,0
21,21,1593626413.902416,6,2,0,0,0,0,0,0
22,22,1593626414.0152843,6,2,0,0,0,0,0,0
23,23,1593626414.1347306,6,2,0,0,0,0,0,0
24,24,1593626414.258247,6,2,0,0,0,0,0,0
25,25,1593626414.3844416,6,2,0,0,0,0,0,0
26,26,1593626414.4951406,6,2,0,0,0,0,0,0
27,27,1593626414.605717,6,2,0,0,0,0,0,0
28,28,1593626414.7187254,6,2,0,0,0,0,0,0
29,29,1593626414.8465798,6,2,0,0,0,0,0,0
30,30,1593626414.9642189,6,2,0,0,0,0,0,0
31,31,1593626415.0749938,6,2,0,0,0,0,0,0
32,32,1593626415.191902,6,2,0,0,0,0,0,0
33,33,1593626415.313592,6,2,0,0,0,0,0,0
34,34,1593626415.4277644,6,2,0,0,0,0,0,0
35,35,1593626415.543539,6,2,0,0,0,0,0,0
36,36,1593626415.6575146,6,2,0,0,0,0,0,0
37,37,1593626415.7723968,6,2,0,0,0,0,0,0
38,38,1593626415.887157,6,2,0,0,0,0,0,0
39,39,1593626416.000429,6,2,0,0,0,0,0,0
40,40,1593626416.1102574,6,2,0,0,0,0,0,0
41,41,1593626416.2250044,6,2,0,0,0,0,0,0
42,42,1593626416.3471942,6,2,0,0,0,0,0,0
43,43,1593626416.4587781,6,2,0,0,0,0,0,0
44,44,1593626416.5721383,6,2,0,0,0,0,0,0
45,45,1593626416.699546,6,2,0,0,0,0,0,0
46,46,1593626416.8129041,6,2,0,0,0,0,0,0
47,47,1593626416.9288566,6,2,0,0,0,0,0,0
48,48,1593626417.0386467,6,2,0,0,0,0,0,0
49,49,1593626417.1571229,6,2,0,0,0,0,0,0
50,50,1593626417.2759423,6,2,0,0,0,0,0,0
51,51,1593626417.3954191,6,2,0,0,0,0,0,0
52,52,1593626454.7864265,6,2,0,0,0,0,0,0
53,53,1593626454.8751929,6,2,0,0,0,0,0,0
54,54,1593626454.966035,6,2,0,0,0,0,0,0
55,55,1593626455.0767732,6,2,0,0,0,0,0,0
56,56,1593626455.1847174,6,2,0,0,0,0,0,0
57,57,1593626455.2738538,6,2,0,0,0,0,0,0
58,58,1593626455.3784096,6,2,0,0,0,0,0,0
